ts,ts_iso,topic,device_type,device_id,voltage,current_signed,current,power_signed,power,direction,ip,raw_payload
1771243763079,2026-02-16T18:09:23,battery/data,,,,,,,,,,"{""uptime_ms"":2993931,""bus_V"":3.852,""shunt_mV"":0.020,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243768083,2026-02-16T18:09:28,battery/data,,,,,,,,,,"{""uptime_ms"":2998932,""bus_V"":3.852,""shunt_mV"":0.010,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243773087,2026-02-16T18:09:33,battery/data,,,,,,,,,,"{""uptime_ms"":3003933,""bus_V"":3.852,""shunt_mV"":-0.020,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243778085,2026-02-16T18:09:38,battery/data,,,,,,,,,,"{""uptime_ms"":3008934,""bus_V"":3.852,""shunt_mV"":-0.020,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243783086,2026-02-16T18:09:43,battery/data,,,,,,,,,,"{""uptime_ms"":3013935,""bus_V"":3.852,""shunt_mV"":-0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243788088,2026-02-16T18:09:48,battery/data,,,,,,,,,,"{""uptime_ms"":3018936,""bus_V"":3.852,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243793095,2026-02-16T18:09:53,battery/data,,,,,,,,,,"{""uptime_ms"":3023937,""bus_V"":3.852,""shunt_mV"":0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243798090,2026-02-16T18:09:58,battery/data,,,,,,,,,,"{""uptime_ms"":3028938,""bus_V"":3.852,""shunt_mV"":-0.030,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243803088,2026-02-16T18:10:03,battery/data,,,,,,,,,,"{""uptime_ms"":3033939,""bus_V"":3.852,""shunt_mV"":-0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243808097,2026-02-16T18:10:08,battery/data,,,,,,,,,,"{""uptime_ms"":3038940,""bus_V"":3.852,""shunt_mV"":0.010,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243813091,2026-02-16T18:10:13,battery/data,,,,,,,,,,"{""uptime_ms"":3043941,""bus_V"":3.852,""shunt_mV"":0.010,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243818089,2026-02-16T18:10:18,battery/data,,,,,,,,,,"{""uptime_ms"":3048942,""bus_V"":3.852,""shunt_mV"":0.000,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243823097,2026-02-16T18:10:23,battery/data,,,,,,,,,,"{""uptime_ms"":3053943,""bus_V"":3.848,""shunt_mV"":-0.030,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
